worker,task,utterance,matching_templates,plausible_operations,type_of_sentence
W239,8,I mean National Insurance.,TNGB839,"Update(?, l7)",statement
W239,9,Can you find me articles with those initials in the title but to do with SARS-Cov-2 rather than Covid-19?,TNGB898,"Update(l1, l8)",question
W239,10,Can you please tell me what I asked to be found in the articles please?,TNGB943,Read(Q10),question
W239,12,Can you now start a new list of articles that are about flu?,TNGB1032,"Update(l8 ^ l9, l10)",question
W239,13,Please make sure there are no articles about COVID-19 in the list.,TNGB1091,Create(neg(l1)),command
W240,2,Can you show me news articles about Covid-19?,TNGB544,Create(l1),question
W240,3,Can you show me news articles about the vaccination?,TNCA585,"Create(l2),Update(l1, l2)",question
W240,4,Can you show me news articles about treatment?,TNGB650,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l1 ^ l2, l3)",question
W240,5,Can you show me news articles not about vaccination or treatment?,TNGB1129,"Update(l2 v l3, neg(l2) v neg(l3))",question
W240,6,"Can you show me news articles including 'NCD', 'NI', or 'WHO' in the headline?",TNGB712,Create(l4 v l5 v l6),question
W240,7,Can you exclude articles about North Ireland,TNGB774,"Update(l5, ?),Update(l5, neg(l5))",question
W240,8,Can you include articles that mention 'National Insurance',TNGB837,"Update(?, l7)",question
W240,9,Can you show articles about SARS-CoV-2 instead of COVID-19?,TNGB900,"Update(l1, l8)",question
W240,10,Can you show me the current search parameters?,TNGB944,Read(Q10),question
W240,11,"Cancel the search filter for articles containing 'NCD', 'NI', or 'WHO' in the headline. Can you show me articles that mention the economy?",TNGB984,"Update(f1:(l4 ^ l7 ^ l6), l9)",question
W240,12,Conduct a new search. Can you show me articles about flu?,TNGB1025,"Update(l8 ^ l9, l10)",question
W240,13,Can you filter these articles for the ones that do not mention COVID-19?,TNGB1087,Create(neg(l1)),question
W241,2,Show me news about COVID-19 please,TNGB540,Create(l1),command
W241,3,only show articles about vaccination,TNGB588,"Create(l2),Update(l1, l2)",command
W241,4,add articles about treatment please,TNGB648,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W241,5,please remove filter on vaccination and treatment,TNGB684,Delete(l2 v l3),command
W241,6,please filter articles on headline containing NCD or NI or WHO,TNGB715,Create(l4 v l5 v l6),command
W241,7,Remove North Ireland flter,TNGB770,"Update(l5, ?),Update(l5, neg(l5))",command
W241,9,change article subject from COVID-19 to SARS-CoV-2,TNGB901,"Update(l1, l8)",command
W241,10,show current search details,TNGB942,Read(Q10),command
W241,11,remove filter on headline and show articles about economy,TNGB982,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W241,12,start a new search for articles about flu,TNGB1028,"Update(l8 ^ l9, l10)",command
W241,13,dont show any articles about COVID-19,TNGB1088,Create(neg(l1)),command
W242,2,All news articles on the COVID-19 ,TNGB539,Create(l1),command
W242,3,only vaccination articles,TNGB589,"Create(l2),Update(l1, l2)",command
W242,4,also include treatment articles,TNGB642,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",command
W242,5,any news articles not including vaccination or treatment,TNGB1126,"Update(l2 v l3, neg(l2) v neg(l3))",command
W242,6,"articles with NCD, NI or WHO in the headline",TNGB717,Create(l4 v l5 v l6),command
W242,7,do not include articles about North Ireland,TNGB776,"Update(l5, ?),Update(l5, neg(l5))",command
W242,8,in this instance NI means National Insurance,TNGB833,"Update(?, l7)",statement
W242,9,articles containing SARS-CoV-2 but not including COVID-19,TNGB896,"Update(l1, l8)",command
W242,12,a new search containing only articles about flu,TNGB1029,"Update(l8 ^ l9, l10)",command
W242,13,remove articles about COVID-19,TNGB1085,Create(neg(l1)),command
W243,2,Could you get me articles about covid-19?,TNGB544,Create(l1),question
W243,4,could you add articles that mention treatments?,TNGB643,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",question
W243,5,"show me all articles, not just the vaccination and treatment ones",TNGB686,Delete(l2 v l3),command
W243,6,"narrow it down to articles with NCD, NI or WHO in the headline",TNGB713,Create(l4 v l5 v l6),command
W243,7,I didn't mean North Ireland when I said NI,TNGB777,"Update(l5, ?)",statement
W243,8,I meant National Insurance,TNGB839,"Update(?, l7)",statement
W243,9,"Can you do that search again, but for SARS-Cov-2 instead of covid-19?",TNGB897,"Update(l1, l8)",question
W243,10,What are we looking at at the moment?,TNGB950,Read(Q10),question
W243,11,"instead of looking at headlines, can you show articles about the economy?",TNGB986,"Update(f1:(l4 ^ l7 ^ l6), l9)",question
W243,12,"Can we start again from scratch, just looking at articles on the flu?",TNGB1030,"Update(l8 ^ l9, l10)",question
W243,13,and could you remove articles about covid-19?,TNGB1083,Create(neg(l1)),question
W244,2,"Hey, show me news articles on COVID-19",TNIN549,Create(l1),command
W244,3,show me news articles on vaccination,TNIN598,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W244,4,display news articles on treatment ,TNIN653,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l1 ^ l2, l3)",command
W244,6,show only those articles which have either NCD or NI or WHO in their headline,TNIN722,Create(l4 v l5 v l6),command
W244,7,"Just correct NI, doesn't mean North Ireland so correct it",TNIN794,"Update(l5, ?)",command
W244,8,I mean NI as National Insurance,TNIN849,"Update(?, l7)",statement
W244,9,hey show me news articles on SARS-CoV-2 rather than COVID-19,TNIN904,"Update(l1, l8)",command
W244,12,show me news articles related to flu,TNIN1036,"Update(l8 ^ l9, l10),Create(l10)",command
W244,13,filter results so it should not have news articles on COVID-19,TNIN1097,Create(neg(l1)),command
W245,2,List all news articles about the COVID-19 ,TNIN551,Create(l1),command
W245,3,News articles about the vaccination for the disease,TNIN598,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W245,5,News articles about the disease excluding vaccination or treatment,TNIN1132,"Update(l2 v l3, neg(l2) v neg(l3))",command
W245,6,News articles about the disease that headlines with NCD or NI or WHO,TNIN722,Create(l4 v l5 v l6),command
W245,7,I did not mean North Ireland for NI,TNIN790,"Update(l5, ?)",statement
W245,8,I meant the National Insurance in mind.,TNIN850,"Update(?, l7)",statement
W245,9,News articles about SARS-CoV-2 (instead of COVID-19),TNIN910,"Update(l1, l8)",command
W245,12,News articles about flu,TNIN1036,"Update(l8 ^ l9, l10),Create(l10)",command
W245,13,News articles that are not about COVID-19,TNIN1092,Create(neg(l1)),command
W246,2,show me the news articles related to COVID-19,TNIN549,Create(l1),command
W246,3,news about the vaccination,TNIN598,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W246,5,news other than vaccination or treatment,TNIN688,Delete(l2 v l3),command
W246,6,"news with headline NCD, NI and WHO",TNIN722,Create(l4 v l5 v l6),command
W246,7,"NI doesn't mean North Ireland, please revise",TNIN785,"Update(l5, ?)",statement
W246,8,assume NI as National Insurance,TNIN847,"Update(?, l7)",command
W246,9,News about SARS-CoV-2 instead of COVID-19,TNIN910,"Update(l1, l8)",command
W246,12,forget everything and show me news about flu,TNIN1041,"Update(l8 ^ l9, l10)",command
W246,13,exclude news about COVID-19 from the list,TNIN1096,Create(neg(l1)),command
W247,2,list news articles about COVID-19 ,TNIN551,Create(l1),command
W247,3,can you refine the list to articles about vaccination for the disease,TNIN600,"Create(l2),Update(l1, l2)",question
W247,4,list can also include treatment options for the disease,TNIN659,"Update(l2, l2 v l3),Update(l1 ^ l2, l3)",command
W247,5,can you list those news articles about the disease other than related to vaccination or treatment,TNIN689,Delete(l2 v l3),question
W247,6,can you list articles related to the disease with headline NCD or NI or WHO,TNIN725,Create(l4 v l5 v l6),question
W247,8,list articles with headline National Insurance,TNIN843,"Update(?, l7)",command
W247,10,I actually forgot some of the things related to my request,TNIN954,Read(Q10),statement
W247,11,Can you list news articles related to impact on economy  instead of the headline mentioned earlier,TNIN988,"Update(f1:(l4 ^ l7 ^ l6), l9)",question
W247,12,Can you just discard everything i mentioned earlier and just list articles about flu,TNIN1037,"Update(l8 ^ l9, l10)",question
W247,13,can you refine the list by excluding COVID-19 articles,TNIN1094,Create(neg(l1)),question
W248,2,Can you please show me the news articles about COVID-19,TNIN550,Create(l1),question
W248,3,Show the articles about vaccination for this disease,TNIN598,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W248,5,Can I get all the news articles about the disease except vaccination and treatment,TNIN1134,"Update(l2 v l3, neg(l2) ^ neg(l3))",question
W248,6,Get me the articles about the disease with either NCD or NI or WHO in the headline,TNIN722,Create(l4 v l5 v l6),command
W248,7,I didn't mean North Ireland,TNIN791,"Update(l5, ?)",statement
W248,8,I mean NI for National Insurance,TNIN849,"Update(?, l7)",statement
W248,9,I want the news articles about SARS-CoV-2 instead of COVID-19 ,TNUS917,"Update(l1, l8)",statement
W248,11,Get me some articles about the disease that mentions about the economy nstead of previously mentioned headlines,TNIN989,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W248,12,Get me the news articles about flu,TNIN1036,"Update(l8 ^ l9, l10),Create(l10)",command
W248,13,Show me the articles about the disease except COVID-19,TNIN1102,Create(neg(l1)),command
W249,2,Fetch all articles related to COVID-19.,TNIN549,Create(l1),command
W249,3,Show me only the ones about vaccination.,TNIN604,Create(l2),command
W249,4,Include the ones about treatment as well.,TNIN657,"Update(l2, l2 v l3)",command
W249,5,"Show me all the articles, not just the ones related to vaccination or treatment.",TNIN690,Delete(l2 v l3),command
W249,6,"I'm only interested in the articles that contain NCD, NI or WHO in the headline.",TNIN726,Create(l4 v l5 v l6),statement
W249,7,I was not referring to North Ireland.,TNIN791,"Update(l5, ?)",statement
W249,8,I meant National Insurance.,TNIN850,"Update(?, l7)",statement
W249,9,"Can you fetch articles about SARS-Cov-2, instead of COVID-19, with the same words that I mentioned earlier in the headline?",TNIN906,"Update(l1, l8)",question
W249,11,"Okay, now can you ignore the headline and show me articles related to the economy?",TNIN991,"Update(f1:(l4 ^ l7 ^ l6), l9)",question
W249,12,Forget all my previous requests and find all articles related to flu.,TNIN1041,"Update(l8 ^ l9, l10)",command
W249,13,Show me the ones that do not refer to COVID-19.,TNIN1093,Create(neg(l1)),command
W250,2,Show all articles on COVID-19 ,TNIN549,Create(l1),command
W250,3,Show all articles about vaccination,TNIN598,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W250,4,Add articles on treatment to previous list,TNIN655,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W250,5,Show  all articles excluding those on vaccination and treatment,TNIN1138,"Update(l2 v l3, neg(l2) ^ neg(l3))",command
W250,6,"Show all articles having headline containing NCD, NI and WHO",TNIN729,Create(l4 v l5 v l6),command
W250,7,Show all articles with headline containing NI but not containing North Ireland,TNIN796,"Update(l5, ?),Update(l5, neg(l5))",command
W250,8,Expand NI to National Insurance and display previous list,TNIN848,"Update(?, l7)",command
W250,9,Show all news articles replacing COVID-19 with  SARS-CoV-2 and same headline filters as before,TNIN912,"Update(l1, l8)",command
W250,10,Display last query,TNIN953,Read(Q10),command
W250,11,Show articles from last query about economy and any headline,TNIN992,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W250,12,Cancel last query and show all articles on flu,TNIN1038,"Update(l8 ^ l9, l10),Create(l10)",command
W251,2,Show the news about COVID-19,TNIN549,Create(l1),command
W251,3,show me the news about vaccination,TNIN598,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W251,5,show me the news articles that are not on vaccination or treatment.,TNIN1133,"Update(l2 v l3, neg(l2) v neg(l3))",command
W251,6,show me the articles that contain NCD or NI or Who as headline.,TNIN722,Create(l4 v l5 v l6),command
W251,7,do not show me the articles that contain North Ireland instead it should contain NI only.,TNIN788,"Update(l5, ?),Update(l5, neg(l5))",command
W251,8,show me the articles that has discusses about National Insurance in the disease.,TNIN843,"Update(?, l7)",command
W251,9,show me the articles about SARS-Cov-2 instaed of COVID-19.,TNIN904,"Update(l1, l8)",command
W251,10,show me the details about my previous search.,TNIN956,Read(Q10),command
W251,11,Show me articles about the economy that does not have NCD or NI or WHO as headline.,TNIN1160,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
W251,12,show me the articles about flu.,TNIN1036,"Update(l8 ^ l9, l10),Create(l10)",command
W251,13,show me only those articles that are not about COVID-19,TNIN1093,Create(neg(l1)),command
W252,2,"Hey, show me news articles on COVID-19",TNIN549,Create(l1),command
W252,3,show me article having details about vaccination,TNIN598,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W252,5,show article which doesn't have vaccination or treatment ,TNIN1133,"Update(l2 v l3, neg(l2) v neg(l3))",command
W252,6,display article which must have NCD or NI or WHO in the headline,TNIN722,Create(l4 v l5 v l6),command
W252,7,"hey you misunderstood, NI doesn't means North Ireland",TNIN785,"Update(l5, ?)",statement
W252,8,so correct it's National Insurance,TNIN845,"Update(?, l7)",statement
W252,9,Now show me articles about SARS-CoV2 rather than COVID-19,TNIN904,"Update(l1, l8)",command
W252,10,show me all previous filters,TNIN956,Read(Q10),command
W252,12,show me news articles about flu,TNIN1036,"Update(l8 ^ l9, l10),Create(l10)",command
W252,13,filter that don't have COVID-19,TNIN1099,Create(neg(l1)),command
W253,2,show me all the news articles on COVID-19,TNIN549,Create(l1),command
W253,3,change the list to Coronavirus vaccination,TNIN602,"Create(l2),Update(l1, l2)",command
W253,5,Show news that are not about coronavirus vaccination and treatment,TNIN1138,"Update(l2 v l3, neg(l2) ^ neg(l3))",command
W253,6,"Show me just the news articles in which NCD , NI , WHO is the headline",TNIN722,Create(l4 v l5 v l6),command
W253,7,The NI that i meant is not North Ireland,TNIN797,"Update(l5, ?)",statement
W253,8,with Ni i meant National Insurance,TNIN852,"Update(?, l7)",statement
W253,10,what was my previous request in the chat? i forgot which news i asked for.,TNIN958,Read(Q10),question
W253,12,Show news articles related to flu,TNIN1036,"Update(l8 ^ l9, l10),Create(l10)",command
W253,13,show news articles not about COVID-19,TNIN1093,Create(neg(l1)),command
W254,5,exclude vaccination and treatment related news items,TNIN1137,"Update(l2 v l3, neg(l2) ^ neg(l3))",command
W254,6,"headline contains one of : NCD, NI, WHO",TNIN723,Create(l4 v l5 v l6),command
W254,7,headline does not contain North Ireland,TNIN789,"Update(l5, ?),Update(l5, neg(l5))",command
W254,9,replace COVID-19 with SARS-CoV-2,TNIN911,"Update(l1, l8)",command
W254,12,fresh search on flu,TNIN1042,"Update(l8 ^ l9, l10)",command
W254,13,articles that are not about COVID-19,TNIN1092,Create(neg(l1)),command
W255,2,get me news articles on COVID-19,TNIN549,Create(l1),command
W255,3,get me news articles on vaccination,TNIN598,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W255,4,get me news articles on treatment,TNIN653,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l1 ^ l2, l3)",command
W255,5,get me news articles apart from vaccination and treatment,TNIN687,Delete(l2 v l3),command
W255,6,get me news articles with WHO or NCD or NI in the headline,TNIN722,Create(l4 v l5 v l6),command
W255,7,get me news articles without North Ireland,TNIN783,"Update(l5, ?),Update(l5, neg(l5))",command
W255,8,National Insurance,TNIN845,"Update(?, l7)",command
W255,9,get me different articles including new articles about SARS-CoV-2 excluding COVID-19,TNIN904,"Update(l1, l8)",command
W255,12,"get me different articles about flu, which I haven't mentioned",TNIN1043,"Update(l8 ^ l9, l10),Create(l10)",command
W255,13,get me only news articles that are not about COVID-19,TNIN1093,Create(neg(l1)),command
W256,2,Give me articles on COVID-19,TNIN549,Create(l1),command
W256,3,All those related only to vaccination,TNIN599,Create(l2),command
W256,4,along with the treatment articles,TNIN656,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",command
W256,6,"reduce the list and give with the headline NCD, WHO, or NI",TNIN728,Create(l4 v l5 v l6),command
W256,7,I do not want for North Ireland,TNIN793,"Update(l5, ?),Update(l5, neg(l5))",statement
W256,8,I want National Insurance,TNIN850,"Update(?, l7)",statement
W256,12,give all the articles about flu,TNIN1036,"Update(l8 ^ l9, l10),Create(l10)",command
W256,13,remember nothing about COVID-19,TNIN1100,Create(neg(l1)),command
W257,2,Please show some latest news articles about COVID-19,TNIN549,Create(l1),command
W257,3,show me more articles about vaccination,TNIN598,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W257,5,show me articles not related to vaccination or treatment of this disease.,TNIN1133,"Update(l2 v l3, neg(l2) v neg(l3))",command
W257,6,"show me articles with NCD, NI or WHO as headline",TNIN722,Create(l4 v l5 v l6),command
W257,8,I wanted to see articles on National Insurance ,TNIN851,"Update(?, l7)",statement
W257,9,Show me articles related to SARS-CoV-2 instead of COVID-19 ,TNIN904,"Update(l1, l8)",command
W257,12,show me articles about flu.,TNIN1036,"Update(l8 ^ l9, l10),Create(l10)",command
W257,13,show me articles except COVID-19.,TNIN1102,Create(neg(l1)),command
W258,2,Could you get me all news articles on the COVID-19/ Coronavirus disease?,TNIN550,Create(l1),question
W258,3,Could you only show me results that are about a vaccination?,TNIN597,Create(l2),question
W258,4,Could you also show me results that are about a treatment?,TNIN652,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",question
W258,5,Could show show me all results that  do not include vaccination or treatment?,TNIN1135,"Update(l2 v l3, neg(l2) v neg(l3))",question
W258,6,"Could you show me only results that either have NCD, NI, or WHO in the headline",TNIN721,Create(l4 v l5 v l6),question
W258,7,Do not show me results about 'North Ireland',TNIN788,"Update(l5, ?),Update(l5, neg(l5))",command
W258,8,Also show me results that have National Insurance in the headline,TNIN846,"Update(?, l7)",command
W258,9,Show me results that meet the criteria above for SARS-CoV-2 instead of COVID-19,TNIN913,"Update(l1, l8)",command
W258,10,Could you show me the search criteria for these results?,TNIN952,Read(Q10),question
W258,12,Could you show me a new list that is about flu?,TNIN1039,"Update(l8 ^ l9, l10)",question
W258,13,Could you only show me results that are not about COVID-19?,TNIN1095,Create(neg(l1)),question
W259,2,All news articles on the COVID-19,TNIN547,Create(l1),command
W259,3,just the news articles that are about a vaccination,TNIN603,"Create(l2),Update(l1, l2)",command
W259,4,news articles about treatment,TNIN653,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l1 ^ l2, l3)",command
W259,5,All news articles that are not about vaccination or treatment,TNIN1132,"Update(l2 v l3, neg(l2) v neg(l3))",command
W259,6,just the news articles with one of the following headline: NCD or NI or WHO,TNIN727,Create(l4 v l5 v l6),command
W259,7,NI is not North Ireland. do you get it?,TNIN784,"Update(l5, ?)",statement
W259,8,I mean that as National Insurance,TNIN849,"Update(?, l7)",statement
W259,9,news articles about SARS-CoV-2 instead of COVID-19 with previous headline,TNIN909,"Update(l1, l8)",command
W259,12,news articles about flu,TNIN1036,"Update(l8 ^ l9, l10),Create(l10)",command
W259,13,just the news articles that are not about COVID-19,TNIN1092,Create(neg(l1)),command
W260,2,list me some articles on COVID-19,TNIN551,Create(l1),command
W260,5,remove artcles related to vaccination or treatment,TNIN1136,"Update(l2 v l3, neg(l2) v neg(l3))",command
W260,6,list articles with headline NCD or NI or WHO,TNIN725,Create(l4 v l5 v l6),command
W260,8,I mean National Insurance,TNIN850,"Update(?, l7)",statement
W260,9,"Hey, now change my main topic to SARS-CoV-2 instead of COVID-19",TNIN905,"Update(l1, l8)",command
W260,11,change list to contain economy related articles ignoring the previous headlines I mentioned,TNIN990,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W260,13,remove articles related to COVID-19,TNIN1098,Create(neg(l1)),command
W261,2,articles on Covid-19,TNIN547,Create(l1),command
W261,5,articles not about vaccination or treatment,TNIN1132,"Update(l2 v l3, neg(l2) v neg(l3))",command
W261,6,include headline NCD or NI or WHO,TNIN723,Create(l4 v l5 v l6),command
W261,7,NI not refers to North Ireland,TNIN787,"Update(l5, ?)",command
W261,8,National Insurance,TNIN845,"Update(?, l7)",command
W261,9,articles about SARS-CoV-2 and not about COVID-19,TNIN908,"Update(l1, l8)",command
W261,10,repeat my previous command,TNIN955,Read(Q10),command
W261,12,article only about flu,TNIN1044,Create(l10),command
W261,13,not include COVID-19,TNIN1099,Create(neg(l1)),command
W262,2,Tell me news articles about COVID-19,TNIN549,Create(l1),command
W262,4,Add the articles about its treatment to the previous list,TNIN654,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W262,5,delete the articles about vaccination or treatment,TNIN1136,"Update(l2 v l3, neg(l2) v neg(l3))",command
W262,6,"headlines having the terms like NCD.NI,WHO",TNIN723,Create(l4 v l5 v l6),command
W262,7,not North Ireland,TNIN795,"Update(l5, ?),Update(l5, neg(l5))",command
W262,8,National Insurance,TNIN845,"Update(?, l7)",command
W262,9,add the news articles about SARS-CoV-2 instead of COVID-19,TNIN904,"Update(l1, l8)",command
W262,12,list the news articles about flu,TNIN1036,"Update(l8 ^ l9, l10),Create(l10)",command
W262,13,hide the articles about COVID-19,TNIN1098,Create(neg(l1)),command
W263,2,a list of news articles about COVID-19,TNIN548,Create(l1),command
W263,3,a list of news articles about vaccination,TNIN598,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W263,4,Kindly change the list for the treatment,TNIN658,"Update(l1 ^ l2, l3)",command
W263,6,change the news article headline that contain WHO or NCD or NI,TNIN724,Create(l4 v l5 v l6),command
W263,7,I didn't mean NI as North Ireland,TNIN792,"Update(l5, ?)",statement
W263,8,NI for National Insurance,TNIN844,"Update(?, l7)",command
W263,9,Kindly change the news article list to about SARS-CoV-2 instead of COVID-19 ,TNIN905,"Update(l1, l8)",command
W263,10,What is my previous message?,TNIN957,Read(Q10),question
W263,11,"Kindly change the list that contains economy related instead of having one of these,NCH, NI or WHO in the headline",TNIN990,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W263,12,Kindly give me the list about flu,TNIN1036,"Update(l8 ^ l9, l10),Create(l10)",command
W263,13,Give me the list as I asked before but that is not about COVID-19,TNIN1093,Create(neg(l1)),command
W264,2,news about COVID-19 ,TNIN547,Create(l1),command
W264,3,News about vaccination for current disease,TNIN598,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W264,5,what is the update on current disease without telling about vaccination or treatment,TNIN1139,"Update(l2 v l3, neg(l2) v neg(l3))",question
W264,6,"Headlines for NCD, NI or WHO",TNIN723,Create(l4 v l5 v l6),command
W264,7,NI news and not North Ireland,TNIN795,"Update(l5, ?),Update(l5, neg(l5))",command
W264,8,National Insurance,TNIN845,"Update(?, l7)",command
W264,9,news about SARS-CoV-2 and not COVID-19 ,TNIN908,"Update(l1, l8)",command
W264,12,current update about flu,TNIN1040,"Update(l8 ^ l9, l10),Create(l10)",command
W265,2,Tell me news about COVID-19,TNUS553,Create(l1),command
W265,3,Show me information about vaccinations,TNUS608,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W265,4,I would like to see articles about treatments,TNUS671,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l1 ^ l2, l3)",statement
W265,5,show me articles that are not about vaccinations or treatment,TNUS1145,"Update(l2 v l3, neg(l2) v neg(l3))",command
W265,6,"show me articles with NCD, or NI, or WHO in the headline",TNUS730,Create(l4 v l5 v l6),command
W265,7,show me articles not about North Ireland,TNUS798,"Update(l5, ?),Update(l5, neg(l5))",command
W265,8,I would like to she articles about National Insurance,TNUS862,"Update(?, l7)",statement
W265,9,I would like to see articles about SARS-Cov-2 and not COVID-19,TNUS917,"Update(l1, l8)",statement
W265,12,I would like to see articles about the flu,TNUS1050,"Update(l8 ^ l9, l10),Create(l10)",statement
W265,13,I would like to see articles not about COVID-19,TNUS1109,Create(neg(l1)),statement
W266,2,Can I get a list of all the news articles on COVID-19?,TNUS555,Create(l1),question
W266,3,Can I get news articles related to vaccination?,TNUS606,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",question
W266,4,Can I also get articles on treatment as well?,TNUS662,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",question
W266,5,also get articles that are not related to vaccination or treatment,TNUS692,Delete(l2 v l3),command
W266,6,"Can I get articles that include either NCD, NI, or WHO in the headline?",TNUS734,Create(l4 v l5 v l6),question
W266,7,Could you eliminate the articles regarding North Ireland?,TNUS807,"Update(l5, ?),Update(l5, neg(l5))",question
W266,8,Could you add articles related to National Insurance?,TNUS858,"Update(?, l7)",question
W266,11,Can I change to finding articles about the economy instead of the headline from the previous lists?,TNUS993,"Update(f1:(l4 ^ l7 ^ l6), l9)",question
W266,12,Can I have articles related to the flu?,TNUS1046,"Update(l8 ^ l9, l10),Create(l10)",question
W266,13,Can you eliminate any articles related to COVID-19?,TNUS1106,Create(neg(l1)),question
W267,2,I want a list of news articles about the COVID-19,TNUS556,Create(l1),statement
W267,3,I would like to see only articles about a vaccination.,TNUS613,"Create(l2),Update(l1, l2)",statement
W267,4,I want to see news articles about either vaccination or treatment.,TNUS669,"Update(l2, l2 v l3)",statement
W267,5,I want more news articles that are not about vaccination or treatment.,TNUS1141,"Update(l2 v l3, neg(l2) v neg(l3))",statement
W267,6,show me news article with headlines related to NCD or NI or WHO.,TNUS731,Create(l4 v l5 v l6),command
W267,7,I do not mean North Ireland by NI,TNUS810,"Update(l5, ?)",statement
W267,8,I meant National Insurance by NI.,TNUS860,"Update(?, l7)",statement
W267,9,I want news about SARS-CoV-2 instead of COVID-19,TNUS917,"Update(l1, l8)",statement
W267,10,Please could you repeat the previous direction?,TNUS961,Read(Q10),question
W267,11,"I want a list of different articles related to the previous ones that are about the economy without any of NCD, NI, or WHO in the headline.",TNUS1161,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",statement
W267,12,I want the list to contain only news articles about flu,TNUS1052,"Update(l8 ^ l9, l10)",statement
W267,13,I want the list to contain articles about the previous topic that are not about COVID-19,TNUS1109,Create(neg(l1)),statement
W268,2,give latest news on covid19,TNUS553,Create(l1),command
W268,3,show me only information on vaccination,TNUS615,"Create(l2),Update(l1, l2)",command
W268,4,I need information about treatments also,TNUS670,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",statement
W268,6,"headline containing WHO,NCD and NI latest information",TNUS738,Create(l4 v l5 v l6),command
W268,7,NI is not North ireland,TNUS800,"Update(l5, ?)",statement
W268,8,Headlines for National Insurance,TNUS859,"Update(?, l7)",command
W268,9,Give me news on SARS-COV2 not COVID-19,TNUS914,"Update(l1, l8)",command
W268,12,Give information about flu,TNUS1045,"Update(l8 ^ l9, l10),Create(l10)",command
W268,13,Give me information on previously mentioned disease excluding COVID-19,TNUS1108,Create(neg(l1)),command
W269,2,Find me COVID-19 articles.,TNUS554,Create(l1),command
W269,3,Show me only some articles about the virus vaccination.,TNUS615,"Create(l2),Update(l1, l2)",command
W269,4,Show more more articles about the treatment of the virus.,TNUS661,"Update(l2, l2 v l3),Update(l1 ^ l2, l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W269,7,NI does not mean North Ireland.,TNUS804,"Update(l5, ?)",statement
W269,8,NI actually means National Insurance.,TNUS853,"Update(?, l7)",statement
W269,9,I want articles about SARS-CoV-2 and not COVID-19,TNUS917,"Update(l1, l8)",statement
W269,12,Show me different articles about the flu.,TNUS1045,"Update(l8 ^ l9, l10),Create(l10)",command
W269,13,I want only articles about the virus i just told you and not COVID-19.,TNUS1109,Create(neg(l1)),statement
W270,2,find articles on covid-19,TNUS553,Create(l1),command
W270,3,find articles about a virus vaccinations,TNUS608,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W270,4,only show articles about treatments and vaccination,TNUS673,"Update(l2, l2 ^ l3)",command
W270,5,show articles about coronavirus other than those about vaccinations or treatments,TNUS691,Delete(l2 v l3),command
